WORK_CATEGORY,ACTIVITY_NAME,STATE_NAME,HOUSE_OF_PARLIAMENT,IDA_NAME,TENURE,MP_NAME,WORK_DESCRIPTION,RECOMMENDATION_DATE,FLAG,CONSTITUENCY_ID,WORK_STAGE,LETTER_NO,SANCTION_AMOUNT,Sno,CONSTITUENCY,WORK_RECOMMENDATION_DTL_ID,TENURE_START_DATE,TENURE_END_DATE,SANCTION_DATE,FILE_STATUS,ATTACH_ID,Total_Amt
Normal/Others,"WS/MP107/2025-2026/183884-Construction of roads, link roads, pathways or any other road with or without drainage system",Madhya Pradesh,1,JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA),Sitting MP,Smt. Sumitra Balmik (2022-28),CC road construction work from Krishna Ben ji house to Anil Ahirwar house  Maharaja Agrasen Ward Vijay Nagar Jabalpur,23-Mar-2025,1,545,Physical Inspection,LN/MP107/2024-2025/97,231295.0,9341,Sitting Rajya Sabha,183884,"Jun 30, 2022 12:00:00 AM","Jun 30, 2028 11:59:59 PM",23-Oct-2025,True,1986724,
Normal/Others,WS/MP204/2025-2026/184027-Construction of community centers and community halls,Uttarakhand,1,HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA),Sitting MP,Dr. Kalpana Saini (2022-28),"Construction of roof at the cremation ground of Scheduled Caste majority village Haljaura Mazra-Ibrahimpur Masahi, Block Bhagwanpur.",20-Mar-2025,1,545,Physical Inspection,LN/MP204/2024-2025/69,1000000.0,9342,Sitting Rajya Sabha,184027,"Jul 5, 2022 12:00:00 AM","Jul 4, 2028 11:59:59 PM",08-May-2025,,,
Normal/Others,"WS/MP204/2025-2026/184077-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttarakhand,1,HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA),Sitting MP,Dr. Kalpana Saini (2022-28),"Construction of interlocking tiles road from the house of Shri Rakesh to the house of Shri Prakash Chandra in the Scheduled Caste dominated village Ganja Mazra, Gram Panchayat Khedi Shikohpur, Block Bhagwanpur.",20-Mar-2025,1,545,Sanction,LN/MP204/2024-2025/70,600000.0,9343,Sitting Rajya Sabha,184077,"Jul 5, 2022 12:00:00 AM","Jul 4, 2028 11:59:59 PM",08-May-2025,,,
Normal/Others,"WS/MP204/2025-2026/184082-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttarakhand,1,HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA),Sitting MP,Dr. Kalpana Saini (2022-28),"Construction of interlocking tiles road from the main road towards Shri Rakesh Bhagat in scheduled caste dominated village Ganja Mazra, Gram Panchayat Khedi Shikohpur, Block Bhagwanpur.",20-Mar-2025,1,545,Sanction,LN/MP204/2024-2025/71,400000.0,9344,Sitting Rajya Sabha,184082,"Jul 5, 2022 12:00:00 AM","Jul 4, 2028 11:59:59 PM",08-May-2025,,,
Normal/Others,"WS/MP204/2025-2026/184086-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttarakhand,1,HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA),Sitting MP,Dr. Kalpana Saini (2022-28),"Construction of interlocking tiles road from the house of dealer Vikram Singh towards Baba Saheb Bhimrao Ambedkar Bhawan in Scheduled Caste Colony of Gram Panchayat Sohalpur (Sikroda), Block Bahadarabad.",20-Mar-2025,1,545,Work Completed,LN/MP204/2024-2025/72,800000.0,9345,Sitting Rajya Sabha,184086,"Jul 5, 2022 12:00:00 AM","Jul 4, 2028 11:59:59 PM",21-Apr-2025,True,1721403,
Normal/Others,"WS/MP147/2025-2026/184124-Construction of roads, link roads, pathways or any other road with or without drainage system",Rajasthan,1,DAUSA(DISTRICT COLLECTOR DAUSA_IDA),Sitting MP,Shri Pramod Tiwari (2022-28),Interlocking road from Kamod house towards Baina Kua in Gram Panchayat Patan.,19-Mar-2025,1,545,Physical Inspection,LN/MP147/2024-2025/95,746874.0,9346,Sitting Rajya Sabha,184124,"Jul 5, 2022 12:00:00 AM","Jul 4, 2028 11:59:59 PM",16-Apr-2025,,,
Normal/Others,WS/MP147/2025-2026/184125-Street lights,Rajasthan,1,DAUSA(DISTRICT COLLECTOR DAUSA_IDA),Sitting MP,Shri Pramod Tiwari (2022-28),To install high mask light at Vaina Kua intersection of Gram Panchayat Patan.,19-Mar-2025,1,545,Work Completed,LN/MP147/2024-2025/95,499972.0,9347,Sitting Rajya Sabha,184125,"Jul 5, 2022 12:00:00 AM","Jul 4, 2028 11:59:59 PM",16-Apr-2025,,,
Normal/Others,"WS/MP107/2025-2026/184191-Construction of roads, link roads, pathways or any other road with or without drainage system",Madhya Pradesh,1,JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA),Sitting MP,Smt. Sumitra Balmik (2022-28),"CC road construction work from Chandan Kesarwani house towards Arvind Namdev house, Maharaja Agrasen Ward, Vijay Nagar, Jabalpur",23-Mar-2025,1,545,Physical Inspection,LN/MP107/2024-2025/98,211720.0,9348,Sitting Rajya Sabha,184191,"Jun 30, 2022 12:00:00 AM","Jun 30, 2028 11:59:59 PM",12-Jan-2026,True,2149309,
Normal/Others,WS/MP107/2025-2026/184192-Construction of additional rooms and halls in the existing public and community building,Madhya Pradesh,1,JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA),Sitting MP,Smt. Sumitra Balmik (2022-28),Additional construction work in community hall at Umaghat near Gwarighat ward Jabalpur,23-Mar-2025,1,545,Vendor Identification,LN/MP107/2024-2025/99,235000.0,9349,Sitting Rajya Sabha,184192,"Jun 30, 2022 12:00:00 AM","Jun 30, 2028 11:59:59 PM",02-Feb-2026,,,
Normal/Others,"WS/MP107/2025-2026/184193-Construction of roads, link roads, pathways or any other road with or without drainage system",Madhya Pradesh,1,JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA),Sitting MP,Smt. Sumitra Balmik (2022-28),"CC road construction work from Rajesh Namdev house towards Mintu Ahirwar house, Maharaja Agrasen Ward, Vijay Nagar, Jabalpur",23-Mar-2025,1,545,Physical Inspection,LN/MP107/2024-2025/100,213045.0,9350,Sitting Rajya Sabha,184193,"Jun 30, 2022 12:00:00 AM","Jun 30, 2028 11:59:59 PM",27-Oct-2025,True,1986562,
