project_id,ml_anomaly_risk,ml_prediction,ml_decision_score
134805.0,2.8,NORMAL,0.194
134826.0,21.7,NORMAL,0.1033
134827.0,21.7,NORMAL,0.1033
134828.0,22.2,NORMAL,0.1007
134829.0,22.2,NORMAL,0.101
134837.0,8.2,NORMAL,0.1681
134838.0,6.3,NORMAL,0.1773
134981.0,83.3,ANOMALY,-0.1922
134984.0,91.1,ANOMALY,-0.2296
135003.0,16.0,NORMAL,0.1303
135004.0,15.7,NORMAL,0.1318
135005.0,15.7,NORMAL,0.1318
135006.0,15.7,NORMAL,0.1318
135007.0,15.7,NORMAL,0.1318
135008.0,16.0,NORMAL,0.1303
135009.0,16.0,NORMAL,0.1303
135010.0,16.0,NORMAL,0.1303
135011.0,16.0,NORMAL,0.1303
135012.0,15.7,NORMAL,0.1318
135013.0,12.3,NORMAL,0.1482
135014.0,28.4,NORMAL,0.0712
135018.0,14.8,NORMAL,0.1362
135019.0,12.3,NORMAL,0.1482
135021.0,5.5,NORMAL,0.1811
135160.0,16.0,NORMAL,0.1303
135163.0,15.7,NORMAL,0.1318
135164.0,15.7,NORMAL,0.1318
135165.0,15.7,NORMAL,0.1318
135166.0,15.7,NORMAL,0.1318
135168.0,23.8,NORMAL,0.0932
135169.0,23.8,NORMAL,0.0932
135170.0,23.8,NORMAL,0.0932
135171.0,15.7,NORMAL,0.1318
135172.0,15.7,NORMAL,0.1318
135173.0,15.7,NORMAL,0.1318
135174.0,16.0,NORMAL,0.1303
135175.0,16.0,NORMAL,0.1303
135176.0,16.0,NORMAL,0.1303
135177.0,16.0,NORMAL,0.1303
135178.0,3.6,NORMAL,0.1898
135179.0,16.0,NORMAL,0.1303
135180.0,15.7,NORMAL,0.1318
135181.0,15.7,NORMAL,0.1318
135182.0,15.7,NORMAL,0.1318
135183.0,15.7,NORMAL,0.1318
135184.0,15.7,NORMAL,0.1318
135185.0,15.7,NORMAL,0.1318
135206.0,3.7,NORMAL,0.1895
135207.0,3.3,NORMAL,0.1913
135208.0,1.7,NORMAL,0.1993
135209.0,1.8,NORMAL,0.1985
135210.0,15.7,NORMAL,0.1318
135211.0,16.0,NORMAL,0.1303
135212.0,16.0,NORMAL,0.1303
135215.0,2.1,NORMAL,0.1973
135216.0,1.5,NORMAL,0.2002
135219.0,8.8,NORMAL,0.1649
135221.0,2.7,NORMAL,0.1942
135222.0,2.2,NORMAL,0.1968
135223.0,3.3,NORMAL,0.1917
135231.0,32.4,NORMAL,0.0518
135232.0,19.6,NORMAL,0.1132
135255.0,8.1,NORMAL,0.1685
135256.0,16.4,NORMAL,0.1288
135257.0,16.1,NORMAL,0.1301
135258.0,16.2,NORMAL,0.1298
135259.0,15.5,NORMAL,0.1328
135260.0,16.2,NORMAL,0.1298
135261.0,16.2,NORMAL,0.1298
135262.0,15.5,NORMAL,0.1328
135263.0,16.4,NORMAL,0.1288
135264.0,15.4,NORMAL,0.1334
135265.0,15.4,NORMAL,0.1334
135266.0,16.2,NORMAL,0.1298
135267.0,27.7,NORMAL,0.0743
135268.0,35.7,NORMAL,0.036
135269.0,27.1,NORMAL,0.0772
135271.0,16.0,NORMAL,0.1303
135272.0,15.7,NORMAL,0.1318
135273.0,16.0,NORMAL,0.1303
135277.0,19.2,NORMAL,0.1152
135279.0,1.6,NORMAL,0.1996
135283.0,1.5,NORMAL,0.1999
135284.0,18.7,NORMAL,0.1175
135386.0,31.8,NORMAL,0.0546
135387.0,28.7,NORMAL,0.0696
135399.0,36.1,NORMAL,0.0343
135400.0,36.1,NORMAL,0.0343
135401.0,36.1,NORMAL,0.0343
135402.0,28.6,NORMAL,0.0703
135403.0,28.6,NORMAL,0.0703
135404.0,31.3,NORMAL,0.0573
135405.0,36.5,NORMAL,0.0321
135406.0,36.0,NORMAL,0.0346
135407.0,36.0,NORMAL,0.0346
135408.0,36.0,NORMAL,0.0346
135409.0,36.0,NORMAL,0.0346
135410.0,36.0,NORMAL,0.0346
135412.0,36.0,NORMAL,0.0346
135413.0,36.0,NORMAL,0.0346
135416.0,36.0,NORMAL,0.0346
135417.0,36.0,NORMAL,0.0346
135418.0,36.0,NORMAL,0.0346
135419.0,36.0,NORMAL,0.0346
135420.0,36.0,NORMAL,0.0346
135422.0,36.0,NORMAL,0.0346
135423.0,36.0,NORMAL,0.0346
135424.0,36.0,NORMAL,0.0346
135425.0,36.0,NORMAL,0.0346
135428.0,36.0,NORMAL,0.0346
135430.0,36.0,NORMAL,0.0346
135431.0,36.0,NORMAL,0.0346
135432.0,36.0,NORMAL,0.0346
135434.0,36.0,NORMAL,0.0346
135435.0,36.0,NORMAL,0.0346
135436.0,36.0,NORMAL,0.0346
135437.0,36.0,NORMAL,0.0346
135440.0,36.0,NORMAL,0.0346
135442.0,36.1,NORMAL,0.0343
135443.0,36.1,NORMAL,0.0343
135444.0,36.1,NORMAL,0.0343
135445.0,36.1,NORMAL,0.0343
135446.0,35.3,NORMAL,0.038
135447.0,35.7,NORMAL,0.0361
135449.0,35.7,NORMAL,0.0361
135450.0,36.0,NORMAL,0.0346
135451.0,36.0,NORMAL,0.0346
135463.0,14.8,NORMAL,0.1361
135505.0,23.2,NORMAL,0.0961
135506.0,23.2,NORMAL,0.0961
135507.0,23.2,NORMAL,0.0961
135508.0,39.1,NORMAL,0.0198
135516.0,22.5,NORMAL,0.0996
135520.0,4.5,NORMAL,0.1859
135523.0,6.1,NORMAL,0.1778
135524.0,4.4,NORMAL,0.1864
135525.0,4.4,NORMAL,0.186
135526.0,31.7,NORMAL,0.0554
135527.0,2.9,NORMAL,0.1932
135528.0,24.8,NORMAL,0.0886
135529.0,8.9,NORMAL,0.1647
135530.0,4.1,NORMAL,0.1875
135533.0,20.5,NORMAL,0.1088
135534.0,23.6,NORMAL,0.0941
135535.0,7.6,NORMAL,0.1706
135539.0,25.9,NORMAL,0.0833
135541.0,15.4,NORMAL,0.1334
135546.0,15.5,NORMAL,0.1329
135547.0,22.3,NORMAL,0.1003
135549.0,15.4,NORMAL,0.1333
135553.0,9.1,NORMAL,0.1635
135555.0,4.2,NORMAL,0.1871
135558.0,3.3,NORMAL,0.1914
135559.0,2.7,NORMAL,0.1942
135564.0,7.6,NORMAL,0.1708
135566.0,3.5,NORMAL,0.1904
135568.0,7.6,NORMAL,0.1707
135570.0,2.4,NORMAL,0.196
135572.0,4.1,NORMAL,0.1874
