project_id,cost_deviation,cost_deviation_pct,expenditure_ratio,rec_san_ratio,sanction_delay_days,completion_duration_days,project_age_days,spending_velocity,velocity_ratio,payment_frequency,payment_concentration,vendor_constituency_count,category_cost_ratio,expenditure_spread_days
176374.0,,,,1.0,,,,,,0.0,,0,0.5232894736842105,
176375.0,,,,1.0,,,,,,0.0,,0,0.5232894736842105,
176376.0,,,,1.0,,,,,,0.0,,0,0.5232894736842105,
176377.0,,,,1.0,,,,,,0.0,,0,0.5232894736842105,
176378.0,0.0,0.0,1.0,1.0,34.0,92.0,518.0,965.2509652509652,1.298263095916956,1.0,1.0,1,1.3157894736842106,0.0
176379.0,,,,1.0,,,,,,0.0,,0,0.5232894736842105,
176380.0,,,,1.0,,,,,,0.0,,0,0.5232894736842105,
176387.0,0.0,0.0,1.0,1.0,125.0,107.0,434.0,4260.331797235023,2.556199078341014,2.0,0.8713093244722507,4,4.865747368421053,106.0
176389.0,0.0,0.0,1.0,1.0,34.0,160.0,518.0,772.2007722007722,1.0386104767335649,1.0,1.0,1,1.0526315789473684,0.0
176390.0,0.0,0.0,1.0,1.0,34.0,260.0,518.0,386.1003861003861,0.5193052383667824,1.0,1.0,1,0.5263157894736842,0.0
176391.0,0.0,0.0,1.0,1.0,34.0,345.0,518.0,965.2509652509652,1.298263095916956,1.0,1.0,1,1.3157894736842106,0.0
176392.0,0.0,0.0,1.0,1.0,34.0,260.0,518.0,579.1505791505791,0.7789578575501735,1.0,1.0,1,0.7894736842105263,0.0
176398.0,,,,1.0,,,,,,0.0,,0,2.6315789473684212,
176399.0,-0.049753,-4.9753,0.950247,1.0,186.0,15.0,371.0,2561.3126684636118,0.8734722568931018,1.0,1.0,1,2.6315789473684212,0.0
176403.0,0.0,0.0,1.0,1.0,154.0,9.0,384.0,2526.0885416666665,1.5156531249999998,1.0,1.0,2,2.5526789473684213,0.0
176404.0,0.0,0.0,1.0,1.0,154.0,9.0,384.0,2525.1145833333335,1.51506875,1.0,1.0,2,2.5516947368421055,0.0
176405.0,0.0,0.0,1.0,1.0,190.0,4.0,348.0,5171.100574712644,3.1026603448275862,1.0,1.0,55,4.735639473684211,0.0
176406.0,0.0,0.0,1.0,1.0,190.0,4.0,348.0,5171.531609195402,3.102918965517241,1.0,1.0,55,4.736034210526316,0.0
176408.0,0.0,0.0,1.0,1.0,260.0,,278.0,1798.5611510791366,1.079136690647482,1.0,1.0,1,1.3157894736842106,0.0
176410.0,0.0,0.0,1.0,1.0,247.0,,291.0,1030.9278350515465,0.6185567010309279,1.0,1.0,1,0.7894736842105263,0.0
176412.0,-0.3825208,-38.25208,0.6174792,1.0,190.0,,348.0,8871.827586206897,5.323096551724138,1.0,1.0,1,13.157894736842104,0.0
176419.0,0.0,0.0,1.0,1.0,12.0,351.0,547.0,1828.1535648994516,2.4113273410853755,2.0,0.5,1,2.6315789473684212,350.0
176424.0,-0.0011204347826086957,-0.11204347826086958,0.9988795652173913,1.0,62.0,,497.0,4622.581488933602,8.198147505937532,2.0,0.7506719485266753,1,6.052631578947368,143.0
176426.0,-0.20445269385000198,-20.4452693850002,0.795547306149998,1.0,34.0,,525.0,3816.657142857143,4.732678520535459,2.0,0.9366501226453466,1,6.628157894736842,259.0
176427.0,-0.000523,-0.0523,0.999477,1.0,133.0,,426.0,4692.380281690141,5.818580642198985,2.0,0.6943266328289696,1,5.2631578947368425,110.0
176431.0,-0.00028123513537917056,-0.028123513537917057,0.9997187648646209,1.0,39.0,,520.0,16522.721153846152,29.303043233090488,2.0,0.7446809550717747,2,22.6164,175.0
176437.0,,,,1.0,,,,,,0.0,,0,4.3755263157894735,
176438.0,-0.05551686417502279,-5.551686417502279,0.9444831358249772,1.0,62.0,,497.0,4169.408450704225,7.394445197603458,2.0,0.6666666666666666,1,5.773684210526316,132.0
176440.0,0.0,0.0,1.0,1.0,159.0,365.0,400.0,1782.485,2.3974433363284544,1.0,1.0,1,1.8763,0.0
176441.0,0.0,0.0,1.0,1.0,93.0,253.0,466.0,1072.961373390558,1.443133655976359,1.0,1.0,2,1.3157894736842106,0.0
176442.0,-0.08907,-8.907,0.91093,1.0,93.0,448.0,466.0,977.3927038626609,1.3145937412385444,1.0,1.0,2,1.3157894736842106,0.0
176443.0,-0.3,-30.0,0.7,1.0,57.0,,502.0,6972.111553784861,1.7848605577689245,1.0,1.0,1,5.210857342358538,0.0
176444.0,0.0,0.0,1.0,1.0,56.0,108.0,480.0,625.0,0.9825,1.0,1.0,40,0.7894736842105263,0.0
176445.0,-0.2491520669165838,-24.91520669165838,0.7508479330834162,1.0,34.0,,525.0,672.9828571428571,0.8345029153717196,1.0,1.0,2,1.2383052631578948,0.0
