project_id,rule_risk,ml_anomaly_risk,duplicate_risk,agency_risk,risk_score,risk_category,data_quality_score,evidence_count,confidence,top_reasons
133910.0,0.0,30.5,0.0,0.0,9.2,LOW,85.0,1,HIGH,No significant risk indicators detected
133911.0,0.0,29.1,0.0,0.0,8.7,LOW,85.0,1,HIGH,No significant risk indicators detected
133912.0,0.0,31.4,0.0,0.0,9.4,LOW,85.0,1,HIGH,No significant risk indicators detected
133913.0,0.0,35.4,0.0,0.0,10.6,LOW,85.0,1,HIGH,No significant risk indicators detected
133919.0,0.0,34.1,0.0,0.0,10.2,LOW,85.0,1,HIGH,No significant risk indicators detected
133920.0,0.0,37.4,0.0,0.0,11.2,LOW,85.0,1,HIGH,No significant risk indicators detected
133921.0,0.0,36.7,0.0,0.0,11.0,LOW,85.0,1,HIGH,No significant risk indicators detected
133929.0,0.0,37.3,0.0,0.0,11.2,LOW,85.0,1,HIGH,No significant risk indicators detected
133940.0,0.0,12.0,75.4,0.0,18.7,LOW,85.0,2,HIGH,Highly similar work description detected in same constituency
133941.0,0.0,12.0,70.7,0.0,17.7,LOW,85.0,2,HIGH,Highly similar work description detected in same constituency
133944.0,0.0,12.0,82.2,0.0,20.0,LOW,85.0,2,HIGH,Highly similar work description detected in same constituency
133945.0,0.0,12.0,82.2,0.0,20.0,LOW,85.0,2,HIGH,Highly similar work description detected in same constituency
133946.0,0.0,12.0,76.1,0.0,18.8,LOW,85.0,2,HIGH,Highly similar work description detected in same constituency
133947.0,0.0,9.3,0.0,0.0,2.8,LOW,85.0,1,HIGH,No significant risk indicators detected
133949.0,0.0,12.0,76.7,0.0,18.9,LOW,85.0,2,HIGH,Highly similar work description detected in same constituency
133955.0,0.0,12.0,0.0,0.0,3.6,LOW,85.0,1,HIGH,No significant risk indicators detected
133959.0,0.0,12.0,0.0,0.0,3.6,LOW,85.0,1,HIGH,No significant risk indicators detected
133960.0,0.0,15.8,0.0,0.0,4.7,LOW,85.0,1,HIGH,No significant risk indicators detected
